Season Made Up,Season,Games Played,Season 3PM,Season 3PA,Season 3P %,Total 3PM
2000,2015-16,80,130,370,35.1,130
2001,2016-17,63,135,384,35.2,265
2002,2017-18,48,90,278,32.4,355
2003,2018-19,81,234,635,36.9,589
2004,2019-20,33,120,321,37.4,709
2005,2019-20,12,38,110,34.5,747
2006,2019-20,45,158,431,36.7,905
2007,2020-21,42,120,310,38.7,1025
