Season Made Up,Season,Games Played,Season 3PM,Season 3PA,Season 3P %,Total 3PM
2000,2011-12,66,111,268,41.4,111
2001,2012-13,82,211,526,40.1,322
2002,2013-14,81,223,535,41.7,545
2003,2014-15,77,239,545,43.9,784
2004,2015-16,80,276,650,42.5,1060
2005,2016-17,78,268,647,41.4,1328
2006,2017-18,73,229,520,44.0,1557
2007,2018-19,78,241,599,40.2,1798
