Season Made Up,Season,Games Played,Season 3PM,Season 3PA,Season 3P %,Total 3PM
2000,2012-13,82,185,503,36.8,185
2001,2013-14,82,218,554,39.4,403
2002,2014-15,82,196,572,34.3,599
2003,2015-16,75,229,610,37.5,828
2004,2016-17,75,214,579,37.0,1042
2005,2017-18,73,227,629,36.1,1269
2006,2018-19,80,237,643,36.9,1506
2007,2019-20,66,270,674,40.1,1776
2008,2020-21,67,275,704,39.1,2051
