Season Made Up,Season,Games Played,Season 3PM,Season 3PA,Season 3P %,Total 3PM
2000,2010-11,61,41,138,29.7,41
2001,2011-12,66,90,234,38.5,131
2002,2012-13,79,170,469,36.2,301
2003,2013-14,80,182,500,36.4,483
2004,2014-15,6,9,22,40.9,492
2005,2015-16,81,210,566,37.1,702
2006,2016-17,75,195,496,39.3,897
2007,2017-18,79,244,609,40.1,1141
2008,2018-19,77,292,757,38.6,1433
2009,2019-20,48,157,381,41.2,1590
2010,2020-21,54,171,416,41.1,1761
