Season Made Up,Season,Games Played,Season 3PM,Season 3PA,Season 3P %,Total 3PM
2000,2016-17,57,89,241,36.9,89
2001,2016-17,25,59,138,42.8,148
2002,2016-17,82,148,379,39.1,296
2003,2017-18,80,176,408,43.1,472
2004,2018-19,82,278,651,42.7,750
2005,2019-20,72,271,688,39.4,1021
2006,2020-21,71,282,721,39.1,1303
