Season Made Up,Season,Games Played,Season 3PM,Season 3PA,Season 3P %,Total 3PM
2000,2017-18,79,187,550,34.0,187
2001,2018-19,77,188,519,36.2,375
2002,2019-20,69,173,473,36.6,548
2003,2020-21,53,178,461,38.6,726
